Image,Model,Price,Gender,Peso Hombre,Peso Mujer,Drop,Amortiguación,Constitución,Pisada,Superficie,Uso,Ritmo,Pie,Apoyo,Distancia,Año,URL
https://static.runnea.com/images/202210/new-balance-fresh-foam-x-more-v4-zapatillas-running-400x400x80xX-3.jpg?1,New Balance Fresh Foam X More v4,"99,83 €","Hombre, Mujer",295 gr,237 gr,4 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Bajo,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2022,
https://static.runnea.com/images/202211/hoka-bondi-8-zapatillas-running-400x400x80xX.jpg?1,HOKA Bondi 8,"104,89 €","Hombre, Mujer",304 gr,4 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2022,,
https://static.runnea.com/images/202212/adidas-adizero-sl-zapatillas-running-400x400x80xX.jpg?1,Adidas Adizero SL,"81,90 €","Hombre, Mujer",243 gr,211 gr,8 mm,Neutro,"Delgada, Medio",Neutro,"Entrenamiento, Varios","Medio, Alto",Normal,Talón,"Corto, 10K, Media maratón",Material reciclado,2022,
https://static.runnea.com/images/202211/brooks-glycerin-20-zapatillas-running-400x400x80xX.jpg?1,Brooks Glycerin 20,"111,59 €","Hombre, Mujer",291 gr,259 gr,10 mm,Alto,Neutro,Asfalto,Entrenamiento,Bajo,Normal,Talón,"10K, Media maratón, Maratón",2021,,
https://static.runnea.com/images/202303/brooks-ghost-15-zapatillas-running-400x400x90xX.jpg?1,Brooks Ghost 15,"92,99 €","Hombre, Mujer",278 gr,249 gr,12 mm,Neutro,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"10K, Media maratón, Maratón",Material reciclado,Unknown
https://static.runnea.com/images/202301/mizuno-wave-rider-26-zapatillas-running-400x400x90xX-1.jpg?1,Mizuno Wave Rider 26,"75,99 €","Hombre, Mujer","291 (9,5 USA)",12 mm,"Neutro, Alto",Medio,"Neutro, Supinador",Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"Corto, 10K, Media maratón, Maratón",Material reciclado,2022,
https://static.runnea.com/images/202211/adidas-adizero-boston-11-zapatillas-running-400x400x80xX.jpg?1,Adidas Adizero Boston 11,"108,00 €","Hombre, Mujer",271 gr,239 gr,"8,5",Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición",Alto,Placa de carbono,Normal,Talón,"Corto, 10K, Media maratón",Unknown
https://static.runnea.com/images/202210/nike-revolution-6-zapatillas-running-400x400x80xX-1.jpg?1,Nike Revolution 6,"45,47 €","Hombre, Mujer, kid",300 gr,241 gr,10 mm,Neutro,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Bajo,Normal,Talón,"Corto, 10K",Material reciclado,Unknown
https://static.runnea.com/images/202306/new-balance-fresh-foam-x-hierro-v7-zapatillas-running-400x400x90xX.jpg?1,New Balance Fresh Foam X Hierro v7,"94,94 €","Hombre, Mujer",301 gr,235 gr,8 mm,Alto,"Medio, Fuerte","Neutro, Supinador",Trail,Entrenamiento,Bajo,Normal,Talón,"10K, Media maratón, Maratón, ultra-trail",Material reciclado,Unknown
https://static.runnea.com/images/202302/nike-invincible-3-zapatillas-running-400x400x90xX.jpg?1,Nike Invincible 3,"146,19 €","Hombre, Mujer",310 gr,258,9 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"10K, Media maratón, Maratón",Veganas,Unknown
https://static.runnea.com/images/202303/asics-gt-1000-11-zapatillas-running-400x400x90xX.jpg?1,ASICS GT 1000 11,"49,00 €","Hombre, Mujer",Array,Array,8 mm,Neutro,"Delgada, Medio",Pronador,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"Corto, 10K, Media maratón, Maratón",2022,
https://static.runnea.com/images/202301/asics-gel-cumulus-25-zapatillas-running-400x400x90xX.jpg?1,ASICS Gel Cumulus 25,"101,99 €","Hombre, Mujer",251 gr,223 gr,8 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"Corto, 10K, Media maratón, Maratón",2023,
https://static.runnea.com/images/202211/saucony-triumph-20-zapatillas-running-400x400x80xX.jpg?1,Saucony Triumph 20,"110,87 €","Hombre, Mujer",254 gr,248 gr,10 mm,Alto,Medio,Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"Veganas, Material reciclado",2022,
https://static.runnea.com/images/202210/hoka-rincon-3-zapatillas-running-400x400x80xX.jpg?1,HOKA Rincon 3,"84,00 €","Hombre, Mujer",210 gr,5 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición",Alto,Normal,Punta,"Corto, 10K",2021,,
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,Unknow,Unknow,,,,,,,,,,,,,,,Unknown
Unknow,HOKA Clifton 9,"150,00 €","Hombre, Mujer","275 (9,5 US)",225 (7 US),5 mm,"Neutro, Alto","Delgada, Medio","Neutro, Supinador",Asfalto,Entrenamiento,"Medio, Alto","Cavo, Normal","Punta, Talón","Corto, 10K, Media maratón, Maratón",2023,
Unknow,ASICS Nimbus 25,"200,00 €","Hombre, Mujer",289 gr,227 gr,8 mm,Alto,"Medio, Fuerte",Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón","Material reciclado, Sostenibles en CO2",Unknown
Unknow,Nike Pegasus 40,"129,99 €","Hombre, Mujer",274 gr,233 gr,10 mm,Neutro,Medio,Neutro,Asfalto,Entrenamiento,Medio,Normal,Talón,"Corto, 10K, Media maratón, Maratón",2023,
Unknow,New Balance Fresh Foam X 1080 v12,"180,00 €","Hombre, Mujer",292 gr,234 gr,8 mm,Alto,Medio,Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón",Material reciclado,Unknown
Unknow,ASICS Novablast 3,"150,00 €","Hombre, Mujer",252 gr,8 mm,Alto,Medio,Neutro,Asfalto,Entrenamiento,"Bajo, Medio",Normal,Talón,"10K, Media maratón, Maratón",2022,,
Unknow,Adidas Adizero Boston 12,"160,00 €","Hombre, Mujer",267 gr,227 gr,7 mm,Neutro,"Delgada, Medio",Neutro,Asfalto,"Entrenamiento, Competición",Alto,Normal,Punta,"Corto, 10K, Media maratón, Maratón",Material reciclado,Unknown
