Model,Gender,Image,Type,Width,Price,Category,Sizes,Colors
GT-2000 12 LITE-SHOW,Woman,https://images.asics.com/is/image/asics/1012B578_001_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 160,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46']",['Black/Pure Silver']
GT-2000 12 NARROW,Woman,https://images.asics.com/is/image/asics/1012B509_002_SR_RT_GLB?$productlist$,Calzado para mujer,Narrow,"€ 160,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46']",['Black/Carrier Grey']
GT-2000 12 TR,Men,https://images.asics.com/is/image/asics/1011B775_200_SR_RT_GLB?$productlist$,Zapatillas de hombre,Standard,"€ 160,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '48.5', '49', '50.5', '51.5', '53']",['Nature Bathing/Neon Lime']
GT-2000 12 TR,Woman,https://images.asics.com/is/image/asics/1012B587_200_SR_RT_GLB?$productlist$,Calzado para mujer,Standard,"€ 160,00","['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46']",['Nature Bathing/Lime Green']
GT-2000 12 WIDE,Men,https://images.asics.com/is/image/asics/1011B689_002_SR_RT_GLB?$productlist$,Zapatillas de hombre,Wide,"€ 160,00","['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '48.5', '49', '50.5', '51.5', '53']",['Black/Carrier Grey']
ACTIBREEZE 3D SANDAL 2,Men,,,Standard,,"['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Rápido']","['XS', 'S', 'M', 'L', 'XL']","['Black/Black', 'Diva Pink/Black']"
FUJISPEED 2,Woman,,,Standard,,"['ASICS', 'Mujer', 'Zapatillas', 'Trail Running']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5']",['Gris Blue/Black']
GEL-CUMULUS 25 GTX,Men,,,Standard,,"['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5']",['Black/Neon Lime']
GEL-CUMULUS 25 GTX,Woman,,,Standard,,"['ASICS', 'Mujer', 'Zapatillas', 'Running', 'Correr Más Lejos']","['35.5', '36', '37', '37.5', '38', '39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5']",['Black/Hot Pink']
GEL-CUMULUS 25 LITE-SHOW,Men,https://images.asics.com/is/image/asics/1011B752_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,,"€ 160,00",,,
GEL-CUMULUS 25 LITE-SHOW,Woman,https://images.asics.com/is/image/asics/1012B565_001_SR_RT_GLB?$productlist$,Calzado para mujer,,"€ 160,00",,,
GEL-CUMULUS 25 TR,Men,https://images.asics.com/is/image/asics/1011B751_200_SR_RT_GLB?$productlist$,Zapatillas de hombre,,"€ 160,00",,,
GEL-CUMULUS 25 TR,Woman,https://images.asics.com/is/image/asics/1012B564_200_SR_RT_GLB?$productlist$,Calzado para mujer,,"€ 160,00",,,
GEL-KAYANO 30 ANNIVERSARY,Men,,,Standard,,"['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5']",['White/Deep Ocean']
GEL-KAYANO 30 EXTRA WIDE,Woman,,,Extra Wide,,"['ASICS', 'Hombre', 'Zapatillas', 'Running', 'Correr Más Lejos']","['39', '39.5', '40', '40.5', '41.5', '42', '42.5', '43.5', '44', '44.5', '45', '46', '46.5', '47', '48', '49', '50.5', '51.5']",['Black/Sheet Rock']
GEL-KAYANO 30 LITE-SHOW,Men,https://images.asics.com/is/image/asics/1011B765_001_SR_RT_GLB?$productlist$,Zapatillas de hombre,,"€ 200,00",,,
