Model,Type,Price,Gender,Image,Category,Colors
Nike Air Winflo 9 Shield,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/8abf1372-0b4a-4c28-aa80-1e06175e68da/air-wio-9-shield-zapatillas-de-running-asfalto-el-mal-tiempo-stP6G3.png",Zapatillas de running para asfalto para el mal tiempo - Mujer,"['Pale Ivory/Neutral Olive/Sea Glass/High Voltage', 'Negro/Dark Smoke Grey/Volt/Blanco']"
Nike Pegasus 40,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a951bc34-b8d8-4e06-9791-3c9889f55805/pegasus-40-zapatillas-de-running-asfalto-1TmxR4.png",Zapatillas de running para asfalto - Mujer,"['Deep Jungle/Negro/Blanco/Plata metalizado', 'Velvet Brown/Team Red/Negro/Carmesí brillante', 'Negro/Anthracite/Negro', 'Blanco/Pure Platinum/Plata metalizado', 'Pearl Pink/Pink Foam/Hemp/Blanco', 'Negro/Dark Smoke Grey/Baltic Blue/Speed Yellow', 'Guava Ice/Amber Brown/Photon Dust/Vivid Purple', 'Negro/Iron Grey/Blanco', 'Diseña tu propio producto Nike By You']"
Nike Downshifter 12,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/92991df2-3334-4579-b99e-d10bdc48d5a6/downshifter-12-zapatillas-de-running-asfalto-Bq23xl.png",Zapatillas de running para asfalto - Mujer,"['Negro/Blanco', 'Blanco/Pure Platinum/Plata metalizado', 'Negro/Smoke Grey/Pure Platinum/Blanco', 'Negro/Dark Smoke Grey/Iron Grey/Negro', 'Barely Rose/Pink Oxford/Blanco', 'Blanco/Obsidian/Picante Red/Clear Jade']"
Nike Vaporfly 3,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/cdaa55e3-abcd-495a-9350-e026b58e8741/vaporfly-3-zapatillas-de-competicion-asfalto-VKkc7j.png",Zapatillas de competición para asfalto - Mujer,"['Negro/Negro/Oatmeal/Metallic Gold Grain', 'Blanco/Jade Ice/Clear Jade/Deep Jungle', 'Blanco/Particle Grey/Plata metalizado/Dark Smoke Grey', 'Hyper Pink/Laser Orange/Negro']"
Nike Vomero 17,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/826ce5e2-eff4-44c3-8808-e4d8dcc94960/vomero-17-zapatillas-de-running-asfalto-dZWbrn.png",Zapatillas de running para asfalto - Mujer,"['Negro/Anthracite/Blanco', 'Diffused Blue/Ashen Slate/Blanco/Oro metalizado', 'Blanco/Photon Dust/Polar/Lime Blast']"
Nike Invincible 3,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4ac94327-456e-4a93-ad3a-8423558eeb67/invincible-3-zapatillas-de-running-asfalto-HmTdqk.png",Zapatillas de running para asfalto - Mujer,"['Blanco/Vivid Sulfur/Pure Platinum/Vivid Purple', 'Negro/Velvet Brown/Blanco/Carmesí brillante', 'Light Cream/Coconut Milk/Topaz Gold/Blanco', 'Ashen Slate/Diffused Blue/Football Grey/Oro metalizado', 'Racer Blue/Plata reflectante/Polar/Blue Joy', 'Negro/Anthracite/Baltic Blue/Blanco', 'Negro/Gris oscuro/Blanco/Blanco', 'Diseña tu propio producto Nike By You']"
Nike Structure 25,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/634edff0-234e-4e0a-ab90-4e2fcde480ed/structure-25-zapatillas-de-running-asfalto-Js0jBm.png",Zapatillas de running para asfalto - Mujer,"['Negro/Blanco/Dark Smoke Grey/Oro metalizado', 'Sea Glass/Summit White/Ice Peach/Polar', 'Blanco/Clear Jade/Jade Ice/Light Smoke Grey', 'Negro/Dark Smoke Grey/Blanco']"
Nike Alphafly 2,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/6eb5520b-2daf-452a-8908-7fba420bcf57/alphafly-2-zapatillas-de-competicion-asfalto-6SNnBl.png",Zapatillas de competición para asfalto - Mujer,"['Blanco/Clear Jade/Light Ultramarine/Deep Jungle', 'Negro/Sea Coral/Blanco/Topaz Gold', 'Hyper Pink/Laser Orange/Blanco/Negro']"
Nike Winflo 10,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/894a3ac9-e3c5-45bb-9a8f-9e761abe7fb0/wio-10-zapatillas-de-running-asfalto-G4QvSz.png",Zapatillas de running para asfalto - Mujer,"['Negro/Velvet Brown/Carmesí brillante', 'Jade Ice/Clear Jade/Blanco/Picante Red', 'Blanco/Photon Dust/Rush Fuchsia/Fuchsia Dream', 'Negro/Speed Yellow/Blanco/Baltic Blue', 'Pearl Pink/Coral Chalk/Blanco/Midnight Navy', 'Negro/Negro/Blanco', 'Sanddrift/Hemp/Sea Coral/Blanco']"
Nike Escape Run 2,,,Woman,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/fac3b812-a59d-46d7-8aa6-398349811ac4/escape-run-2-zapatillas-de-running-asfalto-C9fmgC.png",Zapatillas de running para asfalto - Mujer,"['Phantom/Atmosphere/Sail/Light Iron Ore', 'Negro/Dark Smoke Grey/Sail/Blanco']"
Nike Pegasus 40,,,Men,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c0aabb32-7a25-4532-ad7b-4089f2525f37/pegasus-40-zapatillas-de-running-asfalto-HTDVsQ.png",Zapatillas de running para asfalto - Hombre,"['University Red/Midnight Navy/Blue Joy/Sea Glass', 'Blanco/Pale Ivory/Rush Fuchsia/Multicolor', 'Racer Blue/Negro/Sundial/Blanco', 'Negro/Anthracite/Negro', 'Negro/Iron Grey/Blanco', 'Blanco/Light Orewood Brown/Phantom/Obsidian', 'Midnight Navy/Negro/Racer Blue/Pure Platinum', 'Diseña tu propio producto Nike By You']"
Nike Vaporfly 3,,,Men,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/074a1533-2083-4821-a7c4-4475b2b151f6/vaporfly-3-zapatillas-de-competicion-asfalto-w1H0HM.png",Zapatillas de competición para asfalto - Hombre,"['Blanco/Particle Grey/Plata metalizado/Dark Smoke Grey', 'Hyper Pink/Laser Orange/Negro', 'Negro/Negro/Oatmeal/Metallic Gold Grain', 'Blanco/Jade Ice/Clear Jade/Deep Jungle']"
Nike Alphafly 2,,,Men,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/1e4ffa00-ad76-4d6f-9ada-c4d73234dd26/alphafly-2-zapatillas-de-competicion-asfalto-fvDSdT.png",Zapatillas de competición para asfalto - Hombre,"['Negro/Sail/Metallic Gold Grain', 'Blanco/Clear Jade/Light Ultramarine/Deep Jungle', 'Hyper Pink/Laser Orange/Blanco/Negro']"
Nike Invincible 3,,,Men,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/3396ee3c-08cc-4ada-baa9-655af12e3120/invincible-3-zapatillas-de-running-asfalto-KZ9TdM.png",Zapatillas de running para asfalto - Hombre,"['University Red/Blue Joy/Rugged Orange/Midnight Navy', 'Negro/Gris oscuro/Blanco/Blanco', 'Negro/Racer Blue/High Voltage/Blanco', 'Diseña tu propio producto Nike By You']"
Nike Vomero 17,,,Men,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/95e2c6ba-925d-48bb-a7a3-5772b5a31f26/vomero-17-zapatillas-de-running-asfalto-f7HJPQ.png",Zapatillas de running para asfalto - Hombre,"['Midnight Navy/Negro/Racer Blue/Pure Platinum', 'Negro/Anthracite/Blanco', 'Sea Glass/University Red/Blue Joy/Midnight Navy']"
Nike Pegasus 40 Premium,,,Men,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/f91a5813-295d-4043-9d43-7e4f226c1238/pegasus-40-zapatillas-de-running-asfalto-zpNZDZ.png",Zapatillas de running para asfalto - Hombre,"['Blanco/Fir/Green Strike/Malachite', 'Diseña tu propio producto Nike By You']"
Nike Flex Experience Run 11,,,Men,"https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/73eb7950-edf2-4dbf-96c3-9b684fe974a9/flex-experience-run-11-zapatillas-de-running-asfalto-CLhkcl.png",Zapatillas de running para asfalto - Hombre,[]
