Model,Gender,Image,Type,Width,Price,Category,Sizes,Colors
Draft XC,Unisex,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwcb53ce23/original/100039/100039-308-l-draft-xc-unisex-running-flats.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas con clavos unisex,1 Ancho,"80,00 €","['Zapatillas de Running', 'Zapatillas con clavos unisex']","['EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5']","['308 - Green Gecko/Red Orange/White', '661 - Pink Glo/Green/Black', '129 - White/Black/Nightlife']"
Draft XC Spikeless,Unisex,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwc7d489b4/original/100038/100038-661-l-draft-xc-spikeless-unisex-running-flats.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas con clavos unisex,1 Ancho,"80,00 €","['Zapatillas de Running', 'Zapatillas con clavos unisex']","['EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5']","['129 - White/Black/Nightlife', '308 - Green Gecko/Red Orange/White', '661 - Pink Glo/Green/Black']"
Dyad 11,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw0f078d63/original/110323/110323-071-l-dyad-11-mens-high-support-running-walking-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas running asfalto hombre,3 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas running asfalto hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5']","['071 - Antarctica/Grey/Peacoat', '064 - Black/Ebony/Blue', '084 - Grey/Black/White']"
Dyad 11,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw12431a4e/original/120312/120312-490-l-dyad-11-womens-running-walking-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Running Asfalto para Mujer,3 Anchos,"140,00 €","['Zapatillas de Running', 'Zapatillas Running Asfalto para Mujer']","['EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,5']","['490 - Blue/Navy/Beetroot', '082 - Black/Ebony/Green', '065 - Grey/White/Blue']"
ELMN8 7,Unisex,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwd9720de1/original/100043/100043-467-l-elmn8-7-unisex-track-shoes.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas con clavos unisex,1 Ancho,"180,00 €","['Zapatillas de Running', 'Zapatillas con clavos unisex']","['EU 35,5', 'EU 37,5', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 47,5']",['467 - Blue Glow/Nightlife/Red']
Ghost 14,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw1eebd5a5/original/120356/120356-544-l-ghost-14-womens-neutral-cushion-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Running Asfalto para Mujer,3 Anchos,Desconocido,"['Zapatillas de Running', 'Zapatillas Running Asfalto para Mujer']","['EU 35,5', 'EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,5']",[]
Ghost 14 GTX,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw64ac37f1/original/110368/110368-020-l-ghost-14-gtx-mens-cushion-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas running asfalto hombre,1 Ancho,Desconocido,"['Zapatillas de Running', 'Zapatillas running asfalto hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5']",[]
Ghost 15,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw167f148f/original/110393/110393-429-l-ghost-15-mens-neutral-cushion-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas running asfalto hombre,4 Anchos,"150,00 €","['Zapatillas de Running', 'Zapatillas running asfalto hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5']","['429 - Peacoat/Nightlife/Grey', '439 - Peacoat/Blue/Orange Pop', '006 - Black/Hawaiian Ocean/Green', '012 - Black/Blackened Pearl/White', '020 - Black/Black/Ebony', '024 - Ebony/Black/Spicy Orange', '054 - Black/Oyster/Primer', '065 - Black/Phlox/Oriole', '076 - Ebony/White/Nightlife', '088 - Black/Ebony/Marina', '125 - White/Ebony/Nightlife', '136 - Illusion/White', '147 - White/Oyster/Oriole', '407 - Navy/Blue/Green', '417 - Flintstone/Peacoat/Orange Pop', '428 - Crown Blue/Black/Green', '462 - Moroccan Blue/Black/Spring Bud', '475 - Blue/White', '479 - Blue/Ebony/Nightlife', '482 - Blue/Nightlife/White', '650 - Red/Blue Haze/White', '762 - Nightlife/Black/Ebony', '879 - Flame/Navy/Blue', '416 - Star/Eclipse/Grotto', '371 - Green/White/Orange', '184 - White/Black/Flame', '152 - WhisperWhite/Eclipse/Nightlife', '058 - Black/White/Multi', '029 - Black/Ebony/Nightlife', '025 - Flintstone/Peacoat/Oak', '098 - Alloy/Oyster/Black']"
Ghost 15,Woman,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dwc9155da3/original/120380/120380-189-l-ghost-15-womens-neutral-cushion-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas Running Asfalto para Mujer,3 Anchos,"150,00 €","['Zapatillas de Running', 'Zapatillas Running Asfalto para Mujer']","['EU 35,5', 'EU 36,0', 'EU 36,5', 'EU 37,5', 'EU 38,0', 'EU 38,5', 'EU 39,0', 'EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,5']","['189 - White/Crystal Grey/Glass', '657 - Coral/Navy/Peach', '012 - Black/Blackened Pearl/White', '020 - Black/Black/Ebony', '029 - Black/Ebony/Nightlife', '054 - Black/Oyster/Primer', '058 - Black/White/Multi', '065 - Black/Phlox/Oriole', '076 - Ebony/White/Nightlife', '083 - Black/Ebony/Sharp Green', '086 - Black/Spring Crocus/Sunburn', '099 - Black/Chambray Blue/Cyclamen', '103 - Sunburn/Maple/Black', '125 - White/Ebony/Nightlife', '136 - Illusion/White', '147 - White/Oyster/Oriole', '433 - Peacoat/Pink/Open Air', '450 - Peacoat/Pearl/Salt Air', '460 - Peacoat/Blue/Pink', '461 - Blue Bell/Black/Pink', '475 - Blue/White', '479 - Blue/Ebony/Nightlife', '492 - Spa Blue/Neo Pink/ Copper', '493 - Kentucky Blue/Peacoat/Pink', '497 - Legion Blue/Blue/Bittersweet', '547 - Rhapsody/Iris/Coral', '619 - Slate Rose/Fiery Coral/ White', '639 - Pink/Festival Fuchsia/Black', '592 - Rhapsody/Dress Blue/Viola', '416 - Star/Eclipse/Grotto', '371 - Green/White/Orange', '195 - White/Oyster/Viola', '152 - WhisperWhite/Eclipse/Nightlife', '079 - Black/Blue/Aruba']"
Ghost 15 GTX,Men,https://www.brooksrunning.com/dw/image/v2/BGPF_PRD/on/demandware.static/-/Sites-brooks-master-catalog/default/dw9d0da7b0/original/110394/110394-022-l-ghost-15-gtx-mens-neutral-cushion-running-shoe.jpg?sw=207&sh=207&sm=fit&sfrm=png&bgcolor=F1F3F6,Zapatillas running asfalto hombre,1 Ancho,"170,00 €","['Zapatillas de Running', 'Zapatillas running asfalto hombre']","['EU 40,0', 'EU 40,5', 'EU 41,0', 'EU 42,0', 'EU 42,5', 'EU 43,0', 'EU 44,0', 'EU 44,5', 'EU 45,0', 'EU 45,5', 'EU 46,0', 'EU 46,5', 'EU 47,5', 'EU 48,5', 'EU 49,5']","['022 - Black/Blackened Pearl/Alloy', '480 - Blue/Peacoat/Orange']"
